Country,Deaths
Afghanistan,90.34641685
Albania,99.14279272
Algeria,62.3320148
American Samoa,74.53815528
Andean Latin America,31.30414226
Andorra,58.55136046
Angola,92.1954101
Antigua and Barbuda,39.39842841
Argentina,100.6424224
Armenia,117.0510803
Australasia,51.33454654
Australia,50.48642929
Austria,65.37106833
Azerbaijan,138.3235503
Bahamas,43.5580841
Bahrain,46.49618811
Bangladesh,80.89705905
Barbados,34.58870048
Belarus,138.1674999
Belgium,90.35753659
Belize,52.24202322
Benin,47.82585928
Bermuda,49.19218606
Bhutan,56.63262857
Bolivia,51.56416818
Bosnia and Herzegovina,139.548221
Botswana,78.77620084
Brazil,77.28136508
Brunei,108.3551872
Bulgaria,143.0793468
Burkina Faso,38.15516576
Burundi,69.54939115
Cambodia,133.7531738
Cameroon,49.45524732
Canada,73.62295846
Cape Verde,29.56638706
Caribbean,77.57172158
Central African Republic,119.7618139
Central Asia,110.8886503
Central Europe,120.0635664
"Central Europe, Eastern Europe, and Central Asia",130.7210128
Central Latin America,47.56292253
Central Sub-Saharan Africa,62.58065611
Chad,32.4308784
Chile,45.87301836
China,122.9450014
Colombia,37.34484566
Comoros,43.01084853
Congo,69.72704341
Costa Rica,43.88334965
Cote d'Ivoire,63.06106485
Croatia,115.15209
Cuba,101.0515399
Cyprus,79.66976599
Czech Republic,101.18467
Dem. Rep. Congo,50.26951513
Denmark,101.9621119
Djibouti,71.05826348
Dominica,41.52684126
Dominican Republic,88.57101756
East Asia,121.8680236
Eastern Europe,141.4307227
Eastern Sub-Saharan Africa,57.10417635
Ecuador,34.93121267
Egypt,124.3803192
El Salvador,40.01879089
England,66.87617453
Equatorial Guinea,40.87022246
Eritrea,53.03560836
Estonia,82.84878003
Ethiopia,26.62294245
Fiji,125.7738971
Finland,44.00226678
France,60.75408527
Gabon,65.05483929
Gambia,76.95762618
Georgia,110.8604643
Germany,73.68414375
Ghana,43.22732409
Greece,101.6366324
Greenland,192.3563153
Grenada,56.84466499
Guam,63.67566946
Guatemala,37.15939786
Guinea,44.19483076
Guinea-Bissau,46.42875885
Guyana,71.25288393
Haiti,64.04723913
High SDI,69.98463239
High-income,68.43668462
High-income Asia Pacific,54.09884595
High-middle SDI,112.7053345
Honduras,72.40010088
Hungary,142.5749485
Iceland,59.42583665
India,94.86843007
Indonesia,120.1778135
Iran,61.28191568
Iraq,55.79125539
Ireland,82.68535344
Israel,56.26501356
Italy,59.49161568
Jamaica,73.9660481
Japan,53.10519981
Jordan,67.02075756
Kazakhstan,118.8386844
Kenya,53.71006768
Kiribati,274.0354134
Kuwait,41.23832502
Kyrgyzstan,93.99062093
Laos,147.5707435
Latin America and Caribbean,61.01950812
Latvia,105.3763009
Lebanon,112.5424167
Lesotho,170.8845842
Liberia,51.82393859
Libya,62.40538261
Lithuania,102.0078283
Low SDI,98.05427841
Low-middle SDI,98.27253947
Luxembourg,70.16097114
Macedonia,126.3091233
Madagascar,57.04971992
Malawi,58.07612136
Malaysia,100.814569
Maldives,67.49287494
Mali,34.66916848
Malta,66.74168364
Marshall Islands,135.0783012
Mauritania,27.45262963
Mauritius,70.69913063
Mexico,50.67896924
Micronesia (country),118.6928737
Middle SDI,97.53996152
Moldova,119.6819056
Mongolia,136.4345682
Montenegro,169.1250737
Morocco,62.16727901
Mozambique,98.0393983
Myanmar,183.6493789
Namibia,92.89380955
Nepal,129.7905963
Netherlands,88.51188452
New Zealand,55.85585433
Nicaragua,35.52152126
Niger,23.84595161
Nigeria,18.70963552
North Africa and Middle East,79.68394028
North America,77.47932474
North Korea,120.5038773
Northern Ireland,66.83556105
Northern Mariana Islands,56.43168211
Norway,65.37470875
Oceania,209.9257918
Oman,56.07191744
Pakistan,136.9756318
Palestine,51.02130748
Panama,40.56247348
Papua New Guinea,250.0556372
Paraguay,88.98172215
Peru,24.32351155
Philippines,149.3410096
Poland,114.2613675
Portugal,51.62075572
Puerto Rico,25.64667083
Qatar,39.45788641
Romania,114.997396
Russia,135.8757889
Rwanda,84.85795904
Saint Lucia,54.20815741
Saint Vincent and the Grenadines,51.8005599
Samoa,140.0655419
Sao Tome and Principe,41.0606377
Saudi Arabia,36.9959834
Scotland,107.845634
Senegal,34.87698712
Serbia,160.6592695
Seychelles,87.31302461
Sierra Leone,74.04206622
Singapore,37.78917238
Slovakia,97.40344123
Slovenia,70.92555004
Solomon Islands,169.063979
Somalia,83.86058091
South Africa,79.23498519
South Asia,97.39602596
South Korea,61.54228538
S. Sudan,69.73710199
Southeast Asia,111.2451717
"Southeast Asia, East Asia, and Oceania",120.3662615
Southern Latin America,84.81164115
Southern Sub-Saharan Africa,89.94383834
Spain,68.40409437
Sri Lanka,59.05337047
Sub-Saharan Africa,51.99712867
Sudan,16.46514053
Suriname,84.73884637
Swaziland,113.3701155
Sweden,61.00753661
Switzerland,57.15203352
Syria,83.92138913
Taiwan,72.82123149
Tajikistan,86.85370387
Tanzania,70.37275358
Thailand,60.05262176
Timor,109.9765753
Togo,46.81185469
Tonga,108.4358102
Trinidad and Tobago,56.08042371
Tropical Latin America,77.53530691
Tunisia,95.25700557
Turkey,96.98318648
Turkmenistan,98.70045804
Uganda,46.56148578
Ukraine,166.3105342
United Arab Emirates,65.56372961
United Kingdom,71.28992583
United States of America,77.93552764
United States Virgin Islands,45.24891894
Uruguay,92.64686864
Uzbekistan,101.9823146
Vanuatu,149.3224024
Venezuela,61.51675676
Vietnam,102.2311702
Wales,83.10796723
Western Europe,68.46335602
Western Sub-Saharan Africa,32.2190629
World,93.13810052
Yemen,102.9781561
Zambia,81.94807004
Zimbabwe,150.0642241
