Country,Life expectancy,male,female
Afghanistan,64.956,63.498,66.522
Albania,78.612,77.03,80.252
Algeria,76.954,75.754,78.208
Angola,61.212,58.482,64.1
Antigua and Barbuda,77.08,75.906,78.178
Argentina,76.738,73.328,80.048
Armenia,75.142,71.4,78.54
Aruba,76.36,73.84,78.704
Australia,83.496,81.558,85.452
Austria,81.63,79.286,83.926
Azerbaijan,73.018,70.49,75.504
Bahamas,73.95,71.668,76.132
Bahrain,77.352,76.498,78.484
Bangladesh,72.718,71.008,74.706
Barbados,79.268,77.904,80.55
Belarus,74.774,69.64,79.564
Belgium,81.702,79.412,83.938
Belize,74.658,71.708,77.848
Benin,61.916,60.342,63.478
Bhutan,71.876,71.484,72.304
Bolivia,71.588,68.768,74.57
Bosnia and Herzegovina,77.48,74.982,79.918
Botswana,69.398,66.306,72.192
Brazil,75.964,72.344,79.618
Brunei,75.932,74.792,77.184
Bulgaria,75.106,71.624,78.712
Burkina Faso,61.744,60.89,62.472
Burundi,61.696,59.872,63.504
Cape Verde,73.052,69.598,76.284
Cambodia,69.88,67.582,71.976
Cameroon,59.39,58.114,60.676
Canada,82.516,80.556,84.446
Central African Rep.,53.346,51.164,55.554
Chad,54.348,52.938,55.786
Channel Islands,83.144,81.244,84.968
Chile,80.272,77.88,82.512
China,76.96,74.826,79.274
Hong Kong,84.894,82.002,87.786
Macau,84.296,81.334,87.23
Taiwan,80.53,77.884,83.262
Colombia,77.36,74.61,80.084
Comoros,64.4,62.658,66.208
Dem. Rep. Congo,64.58,63.088,66.034
Costa Rica,80.376,77.87,82.952
Côte d'Ivoire,57.844,56.642,59.194
Croatia,78.558,75.386,81.642
Cuba,78.886,76.932,80.85
Curacao,78.942,75.856,81.684
Cyprus,81.054,79.01,83.084
Czech Republic,79.43,76.82,81.996
North Korea,72.332,68.684,75.8
Congo,60.766,59.224,62.328
Denmark,80.968,79.03,82.916
Djibouti,67.072,65.084,69.308
Dominican Rep.,74.146,71.064,77.432
Ecuador,77.104,74.39,79.916
Egypt,72.06,69.804,74.428
El Salvador,73.418,68.574,77.916
Equatorial Guinea,58.878,57.866,60.078
Eritrea,66.436,64.264,68.676
Estonia,78.748,74.38,82.718
Eswatini,60.006,55.894,64.596
Ethiopia,66.706,64.798,68.648
Fiji,67.526,65.76,69.436
Finland,81.976,79.178,84.768
France,82.728,79.792,85.544
French Guiana,80.05,77.146,83.122
French Polynesia,77.72,75.684,79.954
Gabon,66.448,64.378,68.634
Gambia,62.228,60.822,63.662
Georgia,73.808,69.394,78.168
Germany,81.412,79.05,83.786
Ghana,64.166,63.072,65.284
Greece,82.308,79.896,84.72
Grenada,72.47,70.138,75.034
Guadeloupe,82.2,78.542,85.52
Guam,80.158,76.952,83.572
Guatemala,74.384,71.456,77.236
Guinea,61.68,60.914,62.218
Guinea-Bissau,58.444,56.404,60.358
Guyana,69.93,66.932,73.146
Haiti,64.108,61.93,66.292
Honduras,75.342,73.036,77.624
Hungary,76.902,73.288,80.312
Iceland,83.07,81.598,84.546
India,69.73,68.53,71.038
Indonesia,71.774,69.622,74.034
Iran,76.742,75.644,77.952
Iraq,70.654,68.582,72.736
Ireland,82.354,80.726,83.948
Israel,83.04,81.416,84.556
Italy,83.568,81.384,85.598
Jamaica,74.55,72.93,76.204
Japan,84.67,81.532,87.718
Jordan,74.602,72.908,76.382
Kazakhstan,73.488,69.112,77.598
Kenya,66.696,64.308,69.048
Kiribati,68.462,64.34,72.43
Kuwait,75.538,74.802,76.652
Kyrgyzstan,71.488,67.466,75.628
Laos,68.02,66.224,69.86
Latvia,75.322,70.288,80.034
Lebanon,79,77.224,80.93
Lesotho,54.366,51.248,57.61
Liberia,64.16,62.748,65.574
Libya,72.996,70.184,76.028
Lithuania,75.954,70.358,81.364
Luxembourg,82.312,80.236,84.394
Madagascar,67.178,65.546,68.828
Malawi,64.306,61.154,67.45
Malaysia,76.218,74.29,78.372
Maldives,79.038,77.654,80.848
Mali,59.442,58.652,60.232
Malta,82.598,80.788,84.314
Martinique,82.614,79.274,85.668
Mauritania,64.994,63.352,66.604
Mauritius,75.06,71.73,78.518
Mayotte,79.544,76.272,83.036
Mexico,75.152,72.308,77.966
Micronesia,67.928,66.258,69.656
Mongolia,69.942,65.872,74.208
Montenegro,76.946,74.516,79.356
Morocco,76.77,75.51,77.988
Mozambique,60.882,57.826,63.69
Myanmar,67.168,64.062,70.174
Namibia,63.756,60.756,66.548
Nepal,70.882,69.35,72.324
Netherlands,82.348,80.672,84.002
New Caledonia,77.632,75.04,80.452
New Zealand,82.356,80.66,84.032
Nicaragua,74.582,71.066,78.056
Niger,62.528,61.378,63.738
Nigeria,54.808,53.9,55.748
North Macedonia,75.864,73.864,77.918
Norway,82.484,80.546,84.432
Oman,77.95,76.228,80.406
Pakistan,67.328,66.374,68.36
Panama,78.584,75.534,81.798
Papua New Guinea,64.578,63.332,65.918
Paraguay,74.284,72.286,76.432
Peru,76.822,74.174,79.568
Philippines,71.282,67.316,75.554
Poland,78.784,74.892,82.614
Portugal,82.11,79.118,84.896
Puerto Rico,80.186,76.64,83.554
Qatar,80.304,79.246,82.076
South Korea,83.062,79.962,85.988
Moldova,71.928,67.66,76.176
Reunion,80.638,77.8,84.03
Romania,76.098,72.668,79.556
Russia,72.566,67.134,77.784
Rwanda,69.064,66.862,71.17
Saint Lucia,76.262,74.904,77.646
Saint Vincent and the Grenadines,72.608,70.348,75.212
Samoa,73.366,71.354,75.532
Sao Tome and Principe,70.434,68.018,72.87
Saudi Arabia,75.216,74.014,76.854
Senegal,68.03,65.848,70.004
Serbia,76.05,73.458,78.66
Seychelles,73.47,69.972,77.446
Sierra Leone,54.81,53.948,55.622
Singapore,83.662,81.574,85.772
Slovakia,77.586,74.08,80.996
Slovenia,81.388,78.654,84.086
Solomon Islands,73.014,71.306,74.896
Somalia,57.5,55.822,59.24
South Africa,64.124,60.728,67.652
S. Sudan,57.948,56.454,59.488
Spain,83.612,80.868,86.302
Sri Lanka,77.056,73.692,80.326
Palestine,74.14,72.488,75.852
Sudan,65.406,63.55,67.292
Suriname,71.746,68.526,75.13
Sweden,82.874,81.126,84.616
Switzerland,83.836,81.928,85.654
Syria,73.216,68.768,78.24
Tajikistan,71.166,68.984,73.474
Thailand,77.194,73.536,80.908
East Timor,69.562,67.564,71.7
Togo,61.17,60.266,62.054
Tonga,70.968,69.01,72.966
Trinidad and Tobago,73.55,70.91,76.276
Tunisia,76.79,74.782,78.812
Turkey,77.766,74.808,80.622
Turkmenistan,68.24,64.746,71.776
Uganda,63.408,61.048,65.65
Ukraine,72.092,67.122,76.886
United Arab Emirates,78.034,77.352,79.374
United Kingdom,81.398,79.71,83.052
Tanzania,65.46,63.632,67.26
United States of America,78.93,76.424,81.464
United States Virgin Islands,80.654,78.052,83.148
Uruguay,77.986,74.222,81.532
Uzbekistan,71.734,69.566,73.882
Vanuatu,70.546,69.034,72.24
Venezuela,72.214,68.476,76.148
Vietnam,75.47,71.388,79.58
W. Sahara,70.348,68.688,72.398
World,72.632,70.276,75.068
Yemen,66.194,64.504,67.902
Zambia,63.836,60.82,66.816
Zimbabwe,61.362,59.652,62.796
Greenland,0,0,0
Antarctica,0,0,0
