"name","total","male","female"
"Hong Kong","84.8940","82.0020","87.7860"
"Japan","84.6700","81.5320","87.7180"
"Macau","84.2960","81.3340","87.2300"
"Switzerland","83.8360","81.9280","85.6540"
"Singapore","83.6620","81.5740","85.7720"
"Spain","83.6120","80.8680","86.3020"
"Italy","83.5680","81.3840","85.5980"
"Australia","83.4960","81.5580","85.4520"
"Channel Islands","83.1440","81.2440","84.9680"
"Iceland","83.0700","81.5980","84.5460"
"South Korea","83.0620","79.9620","85.9880"
"Israel","83.0400","81.4160","84.5560"
"Sweden","82.8740","81.1260","84.6160"
"France","82.7280","79.7920","85.5440"
"Martinique","82.6140","79.2740","85.6680"
"Malta","82.5980","80.7880","84.3140"
"Canada","82.5160","80.5560","84.4460"
"Norway","82.4840","80.5460","84.4320"
"New Zealand","82.3560","80.6600","84.0320"
"Ireland","82.3540","80.7260","83.9480"
"Netherlands","82.3480","80.6720","84.0020"
"Luxembourg","82.3120","80.2360","84.3940"
"Greece","82.3080","79.8960","84.7200"
"Guadeloupe","82.2000","78.5420","85.5200"
"Portugal","82.1100","79.1180","84.8960"
"Finland","81.9760","79.1780","84.7680"
"Belgium","81.7020","79.4120","83.9380"
"Austria","81.6300","79.2860","83.9260"
"Germany","81.4120","79.0500","83.7860"
"United Kingdom","81.3980","79.7100","83.0520"
"Slovenia","81.3880","78.6540","84.0860"
"Cyprus","81.0540","79.0100","83.0840"
"Denmark","80.9680","79.0300","82.9160"
"United States Virgin Islands","80.6540","78.0520","83.1480"
"Reunion","80.6380","77.8000","84.0300"
"Taiwan","80.5300","77.8840","83.2620"
"Costa Rica","80.3760","77.8700","82.9520"
"Qatar","80.3040","79.2460","82.0760"
"Chile","80.2720","77.8800","82.5120"
"Puerto Rico","80.1860","76.6400","83.5540"
"Guam","80.1580","76.9520","83.5720"
"French Guiana","80.0500","77.1460","83.1220"
"Mayotte","79.5440","76.2720","83.0360"
"Czech Republic","79.4300","76.8200","81.9960"
"Barbados","79.2680","77.9040","80.5500"
"Maldives","79.0380","77.6540","80.8480"
"Lebanon","79","77.2240","80.9300"
"Curacao","78.9420","75.8560","81.6840"
"United States","78.9300","76.4240","81.4640"
"Cuba","78.8860","76.9320","80.8500"
"Poland","78.7840","74.8920","82.6140"
"Estonia","78.7480","74.3800","82.7180"
"Albania","78.6120","77.0300","80.2520"
"Panama","78.5840","75.5340","81.7980"
"Croatia","78.5580","75.3860","81.6420"
"United Arab Emirates","78.0340","77.3520","79.3740"
"Uruguay","77.9860","74.2220","81.5320"
"Oman","77.9500","76.2280","80.4060"
"Turkey","77.7660","74.8080","80.6220"
"French Polynesia","77.7200","75.6840","79.9540"
"New Caledonia","77.6320","75.0400","80.4520"
"Slovakia","77.5860","74.0800","80.9960"
"Bosnia and Herzegovina","77.4800","74.9820","79.9180"
"Colombia","77.3600","74.6100","80.0840"
"Bahrain","77.3520","76.4980","78.4840"
"Thailand","77.1940","73.5360","80.9080"
"Ecuador","77.1040","74.3900","79.9160"
"Antigua and Barbuda","77.0800","75.9060","78.1780"
"Sri Lanka","77.0560","73.6920","80.3260"
"China","76.9600","74.8260","79.2740"
"Algeria","76.9540","75.7540","78.2080"
"Montenegro","76.9460","74.5160","79.3560"
"Hungary","76.9020","73.2880","80.3120"
"Peru","76.8220","74.1740","79.5680"
"Tunisia","76.7900","74.7820","78.8120"
"Morocco","76.7700","75.5100","77.9880"
"Iran","76.7420","75.6440","77.9520"
"Argentina","76.7380","73.3280","80.0480"
"Aruba","76.3600","73.8400","78.7040"
"Saint Lucia","76.2620","74.9040","77.6460"
"Malaysia","76.2180","74.2900","78.3720"
"Romania","76.0980","72.6680","79.5560"
"Serbia","76.0500","73.4580","78.6600"
"Brazil","75.9640","72.3440","79.6180"
"Lithuania","75.9540","70.3580","81.3640"
"Brunei","75.9320","74.7920","77.1840"
"North Macedonia","75.8640","73.8640","77.9180"
"Kuwait","75.5380","74.8020","76.6520"
"Vietnam","75.4700","71.3880","79.5800"
"Honduras","75.3420","73.0360","77.6240"
"Latvia","75.3220","70.2880","80.0340"
"Saudi Arabia","75.2160","74.0140","76.8540"
"Mexico","75.1520","72.3080","77.9660"
"Armenia","75.1420","71.4000","78.5400"
"Bulgaria","75.1060","71.6240","78.7120"
"Mauritius","75.0600","71.7300","78.5180"
"Belarus","74.7740","69.6400","79.5640"
"Belize","74.6580","71.7080","77.8480"
"Jordan","74.6020","72.9080","76.3820"
"Nicaragua","74.5820","71.0660","78.0560"
"Jamaica","74.5500","72.9300","76.2040"
"Guatemala","74.3840","71.4560","77.2360"
"Paraguay","74.2840","72.2860","76.4320"
"Dominican Republic","74.1460","71.0640","77.4320"
"Palestine","74.1400","72.4880","75.8520"
"Bahamas","73.9500","71.6680","76.1320"
"Georgia","73.8080","69.3940","78.1680"
"Trinidad and Tobago","73.5500","70.9100","76.2760"
"Kazakhstan","73.4880","69.1120","77.5980"
"Seychelles","73.4700","69.9720","77.4460"
"El Salvador","73.4180","68.5740","77.9160"
"Samoa","73.3660","71.3540","75.5320"
"Syria","73.2160","68.7680","78.2400"
"Cape Verde","73.0520","69.5980","76.2840"
"Azerbaijan","73.0180","70.4900","75.5040"
"Solomon Islands","73.0140","71.3060","74.8960"
"Libya","72.9960","70.1840","76.0280"
"Bangladesh","72.7180","71.0080","74.7060"
"World","72.6320","70.2760","75.0680"
"Saint Vincent and the Grenadines","72.6080","70.3480","75.2120"
"Russia","72.5660","67.1340","77.7840"
"Grenada","72.4700","70.1380","75.0340"
"North Korea","72.3320","68.6840","75.8000"
"Venezuela","72.2140","68.4760","76.1480"
"Ukraine","72.0920","67.1220","76.8860"
"Egypt","72.0600","69.8040","74.4280"
"Moldova","71.9280","67.6600","76.1760"
"Bhutan","71.8760","71.4840","72.3040"
"Indonesia","71.7740","69.6220","74.0340"
"Suriname","71.7460","68.5260","75.1300"
"Uzbekistan","71.7340","69.5660","73.8820"
"Bolivia","71.5880","68.7680","74.5700"
"Kyrgyzstan","71.4880","67.4660","75.6280"
"Philippines","71.2820","67.3160","75.5540"
"Tajikistan","71.1660","68.9840","73.4740"
"Tonga","70.9680","69.0100","72.9660"
"Nepal","70.8820","69.3500","72.3240"
"Iraq","70.6540","68.5820","72.7360"
"Vanuatu","70.5460","69.0340","72.2400"
"Sao Tome and Principe","70.4340","68.0180","72.8700"
"Western Sahara","70.3480","68.6880","72.3980"
"Mongolia","69.9420","65.8720","74.2080"
"Guyana","69.9300","66.9320","73.1460"
"Cambodia","69.8800","67.5820","71.9760"
"India","69.7300","68.5300","71.0380"
"East Timor","69.5620","67.5640","71.7000"
"Botswana","69.3980","66.3060","72.1920"
"Rwanda","69.0640","66.8620","71.1700"
"Kiribati","68.4620","64.3400","72.4300"
"Turkmenistan","68.2400","64.7460","71.7760"
"Senegal","68.0300","65.8480","70.0040"
"Laos","68.0200","66.2240","69.8600"
"Micronesia","67.9280","66.2580","69.6560"
"Fiji","67.5260","65.7600","69.4360"
"Pakistan","67.3280","66.3740","68.3600"
"Madagascar","67.1780","65.5460","68.8280"
"Myanmar","67.1680","64.0620","70.1740"
"Djibouti","67.0720","65.0840","69.3080"
"Ethiopia","66.7060","64.7980","68.6480"
"Kenya","66.6960","64.3080","69.0480"
"Gabon","66.4480","64.3780","68.6340"
"Eritrea","66.4360","64.2640","68.6760"
"Yemen","66.1940","64.5040","67.9020"
"Tanzania","65.4600","63.6320","67.2600"
"Sudan","65.4060","63.5500","67.2920"
"Mauritania","64.9940","63.3520","66.6040"
"Afghanistan","64.9560","63.4980","66.5220"
"Republic of the Congo","64.5800","63.0880","66.0340"
"Papua New Guinea","64.5780","63.3320","65.9180"
"Comoros","64.4000","62.6580","66.2080"
"Malawi","64.3060","61.1540","67.4500"
"Ghana","64.1660","63.0720","65.2840"
"Liberia","64.1600","62.7480","65.5740"
"South Africa","64.1240","60.7280","67.6520"
"Haiti","64.1080","61.9300","66.2920"
"Zambia","63.8360","60.8200","66.8160"
"Namibia","63.7560","60.7560","66.5480"
"Uganda","63.4080","61.0480","65.6500"
"Niger","62.5280","61.3780","63.7380"
"Gambia","62.2280","60.8220","63.6620"
"Benin","61.9160","60.3420","63.4780"
"Burkina Faso","61.7440","60.8900","62.4720"
"Burundi","61.6960","59.8720","63.5040"
"Guinea","61.6800","60.9140","62.2180"
"Zimbabwe","61.3620","59.6520","62.7960"
"Angola","61.2120","58.4820","64.1000"
"Togo","61.1700","60.2660","62.0540"
"Mozambique","60.8820","57.8260","63.6900"
"DR Congo","60.7660","59.2240","62.3280"
"Eswatini","60.0060","55.8940","64.5960"
"Mali","59.4420","58.6520","60.2320"
"Cameroon","59.3900","58.1140","60.6760"
"Equatorial Guinea","58.8780","57.8660","60.0780"
"Guinea-Bissau","58.4440","56.4040","60.3580"
"South Sudan","57.9480","56.4540","59.4880"
"Ivory Coast","57.8440","56.6420","59.1940"
"Somalia","57.5000","55.8220","59.2400"
"Sierra Leone","54.8100","53.9480","55.6220"
"Nigeria","54.8080","53.9000","55.7480"
"Lesotho","54.3660","51.2480","57.6100"
"Chad","54.3480","52.9380","55.7860"
"Central African Republic","53.3460","51.1640","55.5540"